KU_KOD;KU_NAZEV;CELKOVY_POCET_PARCEL;CELKOVA_VYMERA;Orn· p˘da(2)-poËet parcel;Orn· p˘da(2)-v˝mÏra;Chmelnice(3)-poËet parcel;Chmelnice(3)-v˝mÏra;Vinice(4)-poËet parcel;Vinice(4)-v˝mÏra;Zahrada(5)-poËet parcel;Zahrada(5)-v˝mÏra;Ovocn˝ sad(6)-poËet parcel;Ovocn˝ sad(6)-v˝mÏra;Trval˝ travnÌ porost(7)-poËet parcel;Trval˝ travnÌ porost(7)-v˝mÏra;LesnÌ pozemek(10)-poËet parcel;LesnÌ pozemek(10)-v˝mÏra;VodnÌ plocha(11)-poËet parcel;VodnÌ plocha(11)-v˝mÏra;ZastavÏn· plocha a n·dvo¯Ì(13)-poËet parcel;ZastavÏn· plocha a n·dvo¯Ì(13)-v˝mÏra;OstatnÌ plocha(14)-poËet parcel;OstatnÌ plocha(14)-v˝mÏra
603856;Kraöov;693;4270918;65;1736588;0;0;0;0;26;28875;0;0;134;632040;187;1426975;7;4524;56;27112;218;414804;
603864;Potok;379;2168357;30;1195183;0;0;0;0;12;11068;0;0;36;157959;185;686553;14;7035;24;12919;78;97640;
603872;Vlkoöov;1078;5336400;203;1884425;0;0;0;0;31;14913;4;24290;313;1091268;217;1861947;44;95339;55;39443;211;324775;
603881;BÌl· u »eskÈho Dubu;985;4541185;199;2551374;0;0;0;0;139;106099;0;0;141;495580;127;1039455;21;5690;163;69073;195;273914;
603902;VlËetÌn u BÌlÈ;1122;4148106;148;1188676;0;0;0;0;166;139993;6;23525;307;1175309;86;1373267;41;21250;116;38975;252;187111;
603911;BÌl·;2080;56463615;56;190396;0;0;0;0;76;60142;0;0;539;2329495;399;52433331;25;219122;459;113421;526;1117708;
603953;BÌl· Lhota;873;2302198;278;1238800;0;0;0;0;115;59269;0;0;89;203201;31;606931;57;10066;143;47832;160;136099;
603961;HrabÌ;515;1220263;205;987930;0;0;0;0;64;39162;0;0;40;68780;22;53647;2;2791;65;22249;117;45704;
603970;HradeËn· u BÌlÈ Lhoty;758;1987989;297;1434565;0;0;0;0;83;48598;3;13641;103;180028;45;161834;17;4480;81;38269;129;106574;
603988;Pate¯Ìn;651;1457413;245;775536;0;0;0;0;91;56308;0;0;68;172054;47;383939;72;12221;57;20253;71;37102;
604003;BÌl· T¯emeön·;2511;6093353;372;2265445;0;0;0;0;496;395722;66;151425;227;442540;147;1980083;46;233778;655;176320;502;448040;
604011;BÌl· Voda u JavornÌka;1203;12834034;98;1096109;0;0;0;0;178;174657;0;0;177;1681726;116;9368635;40;45317;223;87191;371;380399;
604020;KameniËka u BÌlÈ Vody;418;2169881;142;1618565;0;0;0;0;52;40698;0;0;39;179628;14;199380;41;29586;37;19174;93;82850;
604038;BÌlany;1167;8199893;262;3596495;0;0;0;0;165;132309;1;2838;15;68148;161;3526916;44;143599;192;89168;327;640420;
604046;BÌlavsko;1063;6585735;331;2696687;0;0;0;0;155;134178;4;12018;61;220253;60;2998853;32;34427;152;58835;268;430484;
604054;BÌlËice;1543;15379329;93;2503565;0;0;0;0;107;74840;0;0;319;5288445;271;5382230;52;794232;195;162438;506;1173579;
604062;BÌlÈ PodolÌ;2340;5353661;1161;3136910;0;0;0;0;148;89671;377;1377394;35;19800;80;433709;181;37752;222;93646;136;164779;
604071;Brambory;713;1252336;214;449782;0;0;0;0;88;55500;151;323090;18;38385;76;276989;21;6884;71;37810;74;63896;
604097;LovËice;1119;3538650;666;3117437;0;0;0;0;87;62090;9;52517;89;69362;1;967;58;30139;107;67142;102;138996;
604101;SemtÏö u BÌlÈho PodolÌ;2215;5011213;508;1114237;0;0;0;0;192;218030;623;2456782;42;57568;228;687317;146;21950;204;96192;272;359137;
604119;StarkoË u BÌlÈho PodolÌ;1685;4091683;946;3398100;0;0;0;0;117;81842;13;46679;106;166991;2;10644;156;42144;139;86372;206;258911;
600016;Abertamy;1573;4495301;0;0;0;0;0;0;180;57275;0;0;392;2368095;61;1265289;21;42458;486;92103;433;670081;
600024;H¯ebeËn·;762;4201538;1;828;0;0;0;0;10;5075;0;0;299;2770805;47;207616;19;37776;177;29946;209;1149492;
600032;Adamov u »esk˝ch BudÏjovic;1405;1030850;373;385108;0;0;0;0;233;129291;2;3555;135;193118;32;124165;3;9985;382;59455;245;126173;
600041;Adamov;2491;3780970;1;482;0;0;0;0;225;113161;5;9908;66;95636;79;2291229;28;144666;1167;226633;920;899255;
600059;DolnÌ Adröpach;1152;11653624;35;2127725;0;0;0;0;40;38623;0;0;388;2667169;167;6017756;11;92921;195;62316;316;647114;
600067;HornÌ Adröpach;905;8061527;28;2539701;0;0;0;0;20;11080;0;0;280;1619842;184;3503273;3;6311;182;66216;208;315104;
600075;Albe¯;1234;8893655;99;1806927;0;0;0;0;79;50448;0;0;196;1783330;142;3522092;55;872471;274;83048;389;775339;
600083;Albrechtice;331;2472211;27;1296045;0;0;0;0;46;34647;0;0;53;428665;13;179572;20;369734;56;26430;116;137118;
600091;Albrechtice u Mostu;160;4444767;1;5309;0;0;0;0;0;0;0;0;0;0;5;4111;9;19944;0;0;145;4415403;
600105;Jeze¯Ì;205;10395444;0;0;0;0;0;0;0;0;0;0;0;0;54;8991118;14;22668;13;12181;124;1369477;
600113;Albrechtice u Lanökrouna;1961;10074397;69;2010339;0;0;0;0;315;218657;1;3568;352;1433336;453;5764595;52;65451;281;75045;438;503406;
600121;Albrechtice u »eskÈho TÏöÌna;5091;12687783;983;4958763;0;0;0;0;923;746182;2;9823;340;1337104;155;3223902;125;375951;1379;424749;1184;1611309;
600172;Albrechtice nad OrlicÌ;1838;5227697;318;824841;0;0;0;0;301;154452;0;0;224;341995;97;3366967;59;110788;447;130518;392;298136;
600199;Nov· Ves u Albrechtic;1250;8423062;190;996626;0;0;0;0;146;108473;1;4533;347;547976;131;6048078;26;407592;208;57876;201;251908;
600202;ätÏp·novsko;1408;11100024;262;1239046;0;0;0;0;125;60609;2;2648;230;1204324;285;7907389;150;377212;202;73440;152;235356;
600229;Albrechtice nad Vltavou;2274;13009757;253;5596668;0;0;0;0;390;254983;6;26872;451;1306021;66;4497420;49;531873;522;174521;537;621399;
600261;⁄draû;727;10639815;55;3788830;0;0;0;0;129;87377;1;2636;135;525330;57;5397014;22;467471;185;75219;143;295938;
600288;Albrechtice v Jizersk˝ch hor·ch;2551;24539871;1;924;0;0;0;0;169;92989;0;0;862;1594707;171;21958358;21;94733;673;109263;654;688897;
600300;AlbrechtiËky;1301;3954931;227;1583720;0;0;0;0;310;213669;0;0;46;171820;62;258848;65;197869;322;112674;269;1416331;
600318;Nov· Horka;647;3417476;40;1044100;0;0;0;0;113;95276;0;0;44;479407;56;302184;55;1108495;176;48397;163;339617;
600326;AndÏlka;1736;9672843;153;3928808;0;0;0;0;246;206898;9;59426;554;2433629;142;2281151;22;191415;222;108821;388;462695;
600369;AndÏlsk· Hora;1735;8081265;123;1886482;0;0;0;0;80;52972;0;0;438;2382165;123;2608751;65;111814;359;75997;547;963084;
600377;Anensk· Stud·nka;1381;4519757;142;958002;0;0;0;0;217;90887;14;18160;334;1314991;261;1908253;20;8386;98;27365;295;193713;
600385;HelvÌkov;775;3385086;170;1603463;0;0;0;0;104;39819;2;15083;147;255235;89;1335884;5;1205;57;18974;201;115423;
600393;Antoöovice;438;370576;49;224148;0;0;0;0;142;73188;0;0;11;7833;0;0;12;2470;155;30861;69;32076;
600407;Archlebov;13014;13331635;8535;6929818;0;0;741;662932;291;133211;113;193599;291;201398;171;4408349;189;113032;554;183650;2129;505646;
600415;Arneötovice;739;5422301;161;3044593;0;0;0;0;62;49008;0;0;116;645558;219;1311482;10;55139;70;34542;101;281979;
600423;Arnolec;2197;11358645;626;3858396;0;0;0;0;103;34848;0;0;537;1125338;268;5831090;157;130699;128;70943;378;307331;
600431;Arnoltice;953;5535473;54;1482319;0;0;0;0;182;135648;0;0;152;548608;73;2993355;12;26136;241;46079;239;303328;
600440;Bynovec;825;6360105;58;1615837;0;0;0;0;119;62861;1;3050;173;508943;155;3940696;9;15046;170;47214;140;166458;
