KU_KOD;KU_NAZEV;CELKOVY_POCET_PARCEL;CELKOVA_VYMERA;Orn· p˘da(2)-poËet parcel;Orn· p˘da(2)-v˝mÏra;Chmelnice(3)-poËet parcel;Chmelnice(3)-v˝mÏra;Vinice(4)-poËet parcel;Vinice(4)-v˝mÏra;Zahrada(5)-poËet parcel;Zahrada(5)-v˝mÏra;Ovocn˝ sad(6)-poËet parcel;Ovocn˝ sad(6)-v˝mÏra;Trval˝ travnÌ porost(7)-poËet parcel;Trval˝ travnÌ porost(7)-v˝mÏra;LesnÌ pozemek(10)-poËet parcel;LesnÌ pozemek(10)-v˝mÏra;VodnÌ plocha(11)-poËet parcel;VodnÌ plocha(11)-v˝mÏra;ZastavÏn· plocha a n·dvo¯Ì(13)-poËet parcel;ZastavÏn· plocha a n·dvo¯Ì(13)-v˝mÏra;OstatnÌ plocha(14)-poËet parcel;OstatnÌ plocha(14)-v˝mÏra
634158;Velk˝ Karlov;866;13493843;230;11242500;0;0;0;0;92;22146;0;0;11;56912;72;1209674;4;13353;199;85497;258;863761;
634166;Dyj·koviËky;2658;13001301;1111;10692715;0;0;247;767485;137;65397;0;0;76;140081;49;368240;17;106181;378;104938;643;756264;
634174;Dyje;1972;4597367;481;2583610;0;0;97;350439;420;223073;20;121857;31;20039;40;209311;2;149038;350;109839;531;830161;
634182;DolnÌ Dvorce u TelËe;161;575668;23;366989;0;0;0;0;9;6385;0;0;18;104103;0;0;5;7197;16;6405;90;84589;
634191;Dyjice;890;2921276;190;1159268;0;0;0;0;39;24741;2;5831;257;753434;88;533808;17;19726;47;21730;250;402738;
634204;RozsÌËky u TelËe;471;9139455;89;1400274;0;0;0;0;7;6371;0;0;119;817250;93;6457850;13;127581;22;14238;128;315891;
634212;DyjiËka;183;1289668;10;190716;0;0;0;0;11;10358;0;0;51;448254;43;521191;3;5635;11;6158;54;107356;
634221;Strann· u TelËe;277;1001414;33;227651;0;0;0;0;12;12092;0;0;54;423405;38;187907;7;3199;13;6710;120;140450;
634239;»ern· Hora u Dymokur;301;1474161;171;1365196;0;0;0;0;39;22651;1;4987;0;0;0;0;2;2698;42;23755;46;54874;
634247;Dymokury;2107;9309763;735;6120718;0;0;0;0;247;215271;10;79177;71;239564;72;990590;69;407936;479;208733;424;1047774;
634255;DynÌn;1393;7911691;193;5247033;0;0;0;0;157;39479;0;0;213;962796;27;816524;58;129438;205;117241;540;599180;
634271;Lhota u DynÌna;911;5222542;238;3379146;0;0;0;0;47;32988;0;0;194;723224;93;307559;81;479797;75;45596;183;254232;
634280;D˝öina;3451;10388487;455;2656073;0;0;0;0;639;508761;1;7533;187;644909;85;3944339;79;146095;1113;336469;892;2144308;
634301;Dzbel;1548;7437899;310;2703904;0;0;0;0;235;113671;6;17858;240;681170;178;3385413;21;27162;202;65565;356;443156;
634310;Dûb·nice;2130;5404809;1266;3851417;0;0;20;49361;52;36310;24;25382;35;56177;271;1036153;29;6028;112;53110;321;290871;
634328;Dûb·nov u Litomyöle;435;2619078;45;1201325;0;0;0;0;60;40166;0;0;83;439140;56;771977;1;1504;72;23795;118;141171;
634336;Dûb·nov u VysokÈho M˝ta;2106;6589857;866;4371484;0;0;0;0;237;171713;0;0;296;428959;61;1252759;143;21900;231;87409;272;255633;
634344;Ejpovice;2347;7724548;603;2697641;0;0;0;0;276;196595;2;20952;248;832147;104;1860637;40;481571;377;158787;697;1476218;
634379;Encovany;2987;5342743;1227;3370563;403;211340;0;0;183;98564;28;96234;327;285662;122;886957;215;25759;159;67861;323;299803;
634387;T¯ebutiËky;468;1610026;148;1174858;0;0;1;20;70;37956;1;3392;93;117031;33;176607;1;291;42;17892;79;81979;
634395;Blahousty;573;2753270;51;799201;0;0;0;0;30;18304;0;0;74;612979;69;814866;4;310062;152;21794;193;176064;
634409;Erpuûice;667;5327946;109;3456920;0;0;0;0;120;52241;0;0;75;630697;47;844287;10;14807;116;46462;190;282532;
634417;LomniËka;363;4595190;52;1907437;0;0;0;0;47;34506;0;0;76;383262;34;1975859;7;22476;42;22883;105;248767;
634425;Malovice u Erpuûic;621;6433528;132;3341435;0;0;0;0;39;28891;0;0;48;151025;144;2349900;10;261222;113;34951;135;266104;
634433;Eö;1193;4065380;482;1797802;0;0;0;0;45;34964;0;0;232;334147;92;1635643;35;44230;84;29571;223;189023;
634441;EvaÚ;1250;5104405;530;4305418;0;0;0;0;212;126785;2;53903;138;183353;20;112988;11;6273;218;107309;119;208376;
634450;Horka u Libochovic;311;2412023;121;738804;0;0;0;0;44;23247;1;12087;15;9371;16;1540853;0;0;68;20238;46;67423;
634468;Felbabka;445;1524041;0;0;0;0;0;0;121;70629;0;0;88;162224;15;1168817;3;3970;151;39157;67;79244;
634476;Filipov;473;2173628;65;1182623;0;0;0;0;54;35117;0;0;171;694509;26;100607;11;23725;75;29808;71;107239;
634492;Fojtov;674;3179715;22;114360;0;0;0;0;51;32610;0;0;243;1418992;41;1254738;6;9145;147;48213;164;301657;
634506;Luûec u Nejdku;277;4539013;0;0;0;0;0;0;1;138;0;0;45;341236;47;3967140;8;17552;53;15137;123;197810;
634522;Pozorka u Nejdku;564;1851197;25;256155;0;0;0;0;91;63704;0;0;153;488083;27;865369;7;17437;154;30308;107;130141;
634531;SmolnÈ Pece;751;6449905;12;139938;0;0;0;0;86;75523;0;0;287;1861322;72;3978857;12;22183;154;27912;128;344170;
634549;Vysok· ätola;378;3980774;4;6843;0;0;0;0;17;10811;0;0;116;539513;65;3277803;6;18494;54;10849;116;116461;
634557;DolnÌ Folmava;706;22780649;3;21208;0;0;0;0;58;31793;0;0;120;1244247;77;20858121;40;37774;159;47257;249;540249;
634565;HornÌ Folmava;862;6423291;32;592668;0;0;0;0;33;27653;0;0;242;1972924;36;3257489;19;13088;173;66108;327;493361;
634581;Francova Lhota;4490;15778096;715;3331763;0;0;0;0;385;192139;7;28252;920;3718062;538;7084362;31;67909;924;200896;970;1154713;
634603;Frantiökov nad PlouËnicÌ;431;3162302;29;897913;0;0;0;0;87;69924;1;12827;38;286255;19;1438488;7;47731;100;42425;150;366739;
634620;Old¯ichov nad PlouËnicÌ;673;2199435;20;301776;0;0;0;0;117;115001;0;0;138;469007;40;898030;17;71729;115;35591;226;308301;
634638;JedliËn·;104;975049;0;0;0;0;0;0;2;3703;0;0;27;524159;15;230239;18;123921;13;6530;29;86497;
634646;Frantiökovy L·znÏ;2645;6259388;79;1531420;0;0;0;0;371;170203;8;16545;198;522074;55;889293;58;976551;1151;324298;725;1829004;
634654;HornÌ Lomany;1835;3859902;123;1876380;0;0;0;0;395;189352;0;0;252;829685;20;110843;27;170717;709;117277;309;565648;
634662;Krapice;378;5705116;47;1601180;0;0;0;0;11;4576;0;0;41;239521;33;2833926;40;619103;46;17508;160;389302;
634689;Slatina u Frantiökov˝ch L·znÌ;905;2628735;96;943176;0;0;0;0;132;59908;49;18989;73;541748;45;525585;16;36797;244;75507;250;427025;
634697;éÌrovice;847;5064917;116;3393293;0;0;0;0;121;74662;6;14132;182;658742;15;382280;20;155022;229;54492;158;332294;
634701;Frantiöky;1058;3132257;153;598629;0;0;0;0;91;79449;2;6565;449;1440357;41;829508;36;10031;96;33611;190;134107;
634719;Frenöt·t pod RadhoötÏm;11168;11433677;1257;3445866;0;0;0;0;2032;1478495;0;0;1115;2181175;202;703630;140;285341;3656;841945;2766;2497225;
634808;FryËovice;3887;16462698;522;8578752;0;0;0;0;861;711221;2;13107;441;2525849;178;2937868;105;268633;1043;398735;735;1028533;
634824;MÌstek;11927;12142464;882;2547616;0;0;0;0;1590;884431;18;42769;705;975606;97;1479017;175;1125587;4725;1163304;3735;3924134;
634956;Fr˝dek;12814;10633530;1133;1810214;0;0;0;0;2064;1152413;8;13370;487;513639;69;1828137;77;226840;4754;1239674;4222;3849243;
635081;PanskÈ NovÈ Dvory;964;3096769;210;727021;0;0;0;0;112;106333;4;12164;209;786870;17;798027;37;22688;169;43838;206;599828;
635090;Fr˝dlant;8392;25359691;296;5392639;0;0;0;0;1691;1160628;1;3274;1603;8845321;269;6138169;132;348614;2578;790217;1822;2680829;
635171;Fr˝dlant nad OstravicÌ;10612;9140994;631;1215743;0;0;0;0;1822;1343018;1;3069;1531;1939294;378;1231988;218;509017;3298;733243;2733;2165622;
635197;Fr˝dnava;599;5668981;53;3082946;0;0;0;0;122;64281;0;0;36;410970;156;1822855;7;32624;91;55388;134;199917;
635201;Fr˝dötejn;2788;7102865;186;1538343;0;0;0;0;476;516128;5;11462;687;1596768;533;2790999;3;1505;497;91773;401;555887;
635227;Ond¯Ìkovice;576;2491662;52;253168;0;0;0;0;83;54081;0;0;161;455755;102;1619557;5;4900;88;20220;85;83981;
635260;Frymburk;5514;54178216;74;2143431;0;0;0;0;186;93300;3;10054;751;14031505;361;19102143;87;15852667;1696;216821;2356;2728295;
635286;PaseËn·;1031;29396703;8;115999;0;0;0;0;4;5211;0;0;302;8302885;81;19065990;20;79001;71;22482;545;1805135;
635294;Frydava;133;754249;9;14027;0;0;0;0;5;2153;0;0;37;196742;8;431523;0;0;30;5887;44;103917;
635316;Jas·nky;633;19940428;6;58761;0;0;0;0;0;0;0;0;147;3830969;73;14752788;16;145418;7;3895;384;1148597;
635324;Fryöava pod é·kovou horou;1496;12535696;141;1904830;0;0;0;0;209;83290;0;0;274;1828938;109;7854998;23;333642;330;85410;410;444588;
635332;T¯i StudnÏ;807;4427026;34;346371;0;0;0;0;75;45412;0;0;200;493253;41;3096130;7;175883;258;34217;192;235760;
635341;DolnÌ Ves;2674;10991221;792;5301587;0;0;0;0;349;253171;7;36492;435;760009;154;3691384;271;270442;301;145078;365;533058;
635359;Fryöt·k;2480;2731248;398;1649456;0;0;0;0;474;242069;3;9595;143;152984;11;14008;95;25870;643;217249;713;420017;
635367;HornÌ Ves u Fryöt·ku;2585;8290294;685;2593319;0;0;0;0;431;266815;11;15743;284;152249;84;4839253;145;44013;534;147590;411;231312;
635405;VÌtov·;1273;2155226;117;411156;0;0;0;0;176;142515;21;79562;404;684294;96;637605;8;10928;208;49941;243;139225;
635448;Fulnek;2947;4519001;178;1732648;0;0;0;0;732;405718;0;0;81;108579;35;1157860;48;46747;1059;270399;814;797050;
635456;Jerlochovice;2387;8757883;358;5079857;0;0;0;0;255;153938;0;0;236;1196398;253;1486007;146;103124;405;100410;734;638149;
635481;GolË˘v JenÌkov;5791;10170126;1539;5215740;0;0;0;0;1036;829296;57;92291;581;689887;137;1751603;96;101224;1136;390696;1209;1099389;
635499;KobylÌ Hlava;453;6776965;33;2284171;0;0;0;0;96;77053;1;7131;70;301311;57;3744002;16;42060;76;47826;104;273411;
635502;Nasavrky u GolËova JenÌkova;826;2252950;249;1523321;0;0;0;0;61;73655;0;0;170;265175;122;250062;53;12715;50;33378;121;94644;
635537;Podmoky u GolËova JenÌkova;2316;9698049;909;4176049;0;0;0;0;248;194626;1;2927;248;281996;219;4331380;185;218890;195;87774;311;404407;
635545;ÿÌmovice;560;1545718;169;1103103;0;0;0;0;72;52680;0;0;106;217436;14;32295;13;10709;94;34498;92;94997;
635553;VrtÏöice;622;1285199;142;920190;0;0;0;0;58;58916;0;0;115;84967;67;108429;51;10447;30;20126;159;82124;
635561;ZlÌn;20226;18833251;480;693899;0;0;0;0;4048;1832329;100;381472;618;732263;322;6441909;38;167415;9628;1923529;4992;6660435;
635812;P¯Ìluky u ZlÌna;4708;5699439;756;1890899;0;0;0;0;706;391007;27;99649;958;1313203;240;841903;23;53778;1339;241690;659;867310;
635863;Jaroslavice u ZlÌna;2594;4324476;148;560989;0;0;0;0;504;276314;23;68585;646;2002186;196;895170;16;17362;567;121791;494;382079;
635898;Kudlov;4377;6282950;525;1134361;0;0;0;0;545;346111;52;162878;968;2239355;353;1550335;25;15540;978;197613;931;636757;
635987;Malenovice u ZlÌna;8435;17833343;1559;2419823;0;0;0;0;1546;771406;138;433382;675;598877;101;10822500;195;161796;2263;679073;1958;1946486;
636029;TeËovice;3396;6669696;1299;4664502;0;0;1;384;459;335156;13;54548;194;440441;17;61234;115;140898;561;189210;737;783323;
636053;Lhotka u ZlÌna;1505;4633399;473;1407552;0;0;0;0;244;179208;6;19716;166;200632;144;2524545;54;23793;170;54886;248;223067;
636118;Louky nad D¯evnicÌ;4431;3649800;1703;1950272;0;0;0;0;605;327697;5;16064;174;111758;16;12758;24;87050;713;256900;1191;887301;
636142;PrötnÈ;4622;3743615;1246;1726596;0;0;0;0;924;422837;10;32096;240;172645;98;175194;88;67842;1158;332440;858;813965;
636177;Mladcov·;3662;9871638;537;1474480;0;0;0;0;755;364044;21;95505;450;627277;217;6500911;13;44282;1069;171501;600;593638;
636215;GreölovÈ M˝to;1011;2164633;321;1267748;0;0;0;0;88;63099;0;0;201;228006;32;267953;41;97476;134;41324;194;199027;
636223;GruËovice;835;4084254;173;2394793;0;0;0;0;122;107756;0;0;176;352114;116;1075408;12;8027;87;33783;149;112373;
636231;Gruna;1322;7262544;276;3566031;0;0;0;0;131;103195;14;37762;226;524427;180;2530263;36;35463;120;42530;339;422873;
636258;éipotÌn;787;3108750;245;740492;0;0;0;0;92;47549;7;13481;90;112240;87;1992431;1;36;44;15812;221;186709;
636266;Grygov;2347;12721367;717;4485117;0;0;0;0;394;255348;3;63588;21;43983;45;6301915;24;141131;688;203462;455;1226823;
636274;Grymov;321;1036844;87;692887;0;0;0;0;83;73240;0;0;31;96153;0;0;5;43854;78;28179;37;102531;
636291;Guty;2933;9465985;437;2521211;0;0;0;0;318;418174;8;33828;827;2405588;316;3433872;30;73974;462;109802;535;469536;
636312;Habartice u Fr˝dlantu;1054;3050859;54;1109188;0;0;0;0;255;162378;0;0;225;652057;48;797762;25;19635;218;60754;229;249085;
636321;H·j u Habartic;431;2506512;38;1007927;0;0;0;0;41;31930;0;0;135;639203;75;707057;14;22079;40;17587;88;80729;
636339;Habartov;2695;12908540;56;245499;0;0;0;0;538;421969;0;0;168;776279;59;2208717;32;259620;1193;207158;649;8789298;
636363;Habrek;753;1634051;194;926583;0;0;0;0;75;62463;0;0;139;200056;45;298821;13;9590;122;25154;165;111384;
636371;ObrvaÚ;636;2564654;140;701591;0;0;0;0;61;62763;0;0;131;529368;70;959342;4;3960;70;21718;160;285912;
636380;Soubo¯;567;3854993;122;873927;0;0;0;0;43;35830;0;0;137;545081;93;2178606;5;8065;59;38031;108;175453;
636398;Habrovany u ÿehlovic;883;2820746;86;1332653;0;0;0;0;91;60288;5;25341;171;619709;19;363817;57;19194;122;54563;332;345181;
636401;Habrovany;1825;5496084;312;4138891;0;0;1;429;527;314943;20;61392;43;118798;5;358541;27;38523;502;142742;388;321825;
636410;Olöany;1839;18705393;436;910739;0;0;0;0;416;272394;15;41884;195;352061;61;16538317;9;8232;401;82155;306;499611;
636436;Habrovice;825;1967388;141;576993;0;0;0;0;126;104855;0;0;176;805967;20;117154;15;170247;232;40633;115;151539;
636444;Str·ûky u Habrovic;854;2980470;149;1201462;0;0;0;0;55;41547;8;25827;227;738020;45;603748;11;30718;145;35452;214;303696;
636452;Habr˘vka;998;9951393;278;1001998;0;0;0;0;149;93401;0;0;136;334280;56;8336223;11;5973;219;73556;149;105962;
636479;Habry;2210;13619031;264;9161364;0;0;0;0;337;181363;14;13960;143;1318902;269;1672752;96;261575;652;226762;435;782353;
636487;Hab¯ina;1408;6087666;367;3729867;0;0;0;0;165;101554;0;0;188;615460;177;1120853;34;58398;171;87960;306;373574;
636495;ChabiËov ve Slezsku;3527;5498108;796;2389402;0;0;0;0;540;341716;0;0;553;945648;592;1059701;83;102913;553;188333;410;470395;
636509;Smolkov;1774;3586622;196;629946;0;0;0;0;343;293264;0;0;375;842130;97;1299886;51;95957;396;122989;316;302450;
636517;Domaslavice;553;3506262;70;315436;0;0;0;0;74;47425;1;11635;137;380268;23;2584706;11;22780;90;17828;147;126184;
636525;H·j u Duchcova;1897;4003266;170;1450888;0;0;0;0;422;212343;2;6763;174;778107;102;600924;47;186772;464;145046;516;622423;
636533;Hajany u BlatnÈ;653;3822849;104;1786363;0;0;0;0;102;77322;1;8220;143;1110567;24;167522;30;283926;95;52230;154;336699;
636541;Hajany;756;2355250;317;1908002;0;0;0;0;116;72478;9;32175;3;9593;14;129630;0;0;190;63997;107;139375;
636550;H·je u P¯ÌbramÏ;2743;6635019;623;2772880;0;0;0;0;258;168763;15;23353;459;773861;156;1734342;57;32811;400;104518;775;1024491;
636568;DolnÌ Pelh¯imov;708;6964463;39;2143696;0;0;0;0;38;23920;0;0;86;2145235;101;1813539;33;134096;103;25272;308;678705;
636576;H·je u Chebu;2814;13965559;251;4451003;0;0;0;0;422;187277;6;12795;250;1698940;80;5822962;84;213362;978;155696;743;1423524;
636614;DolnÌ Sytov·;1958;4811613;78;825859;0;0;0;0;156;124570;0;0;632;1978080;410;1446097;7;41704;262;42668;413;352635;
636622;H·je nad Jizerou;525;1699084;24;170923;0;0;0;0;36;33920;1;5363;141;471113;126;825209;5;39715;79;28771;113;124070;
636649;Rybnice;1841;5231556;88;1396989;0;0;0;0;211;175131;1;2963;416;1596039;446;1567322;15;67258;249;50948;415;374906;
636657;Blanice;337;1819502;37;1030055;0;0;0;0;16;13315;2;12216;75;441607;8;79853;14;69215;28;16289;157;156952;
636665;H·jek u Bavorova;424;2796531;126;1328051;0;0;0;0;22;26212;2;8800;53;312893;67;921026;15;12195;29;22603;110;164751;
636673;H·jek u Vöerub;409;3566499;64;1763873;0;0;0;0;33;19085;0;0;60;527174;19;921861;17;35009;56;33772;160;265725;
636681;H·jek u Ostrova;1268;6783801;68;521208;0;0;0;0;185;119513;0;0;316;1611393;142;3495073;20;269601;283;67899;254;699114;
636690;Nov· VÌska u Ostrova;313;1966424;50;575117;0;0;0;0;29;28264;2;9912;104;735107;4;27283;10;285093;49;22372;65;283276;
636711;H·jek u Tiönova;1074;2894684;110;646879;0;0;0;0;171;87898;9;124223;239;515256;137;1316315;13;2824;120;33980;275;167309;
636720;Brusnice;2492;7046048;627;3737335;0;0;0;0;143;101150;0;0;559;1270345;281;1453284;82;22934;256;77524;544;383476;
636738;Hajnice;133;3258827;5;3497;0;0;0;0;4;2474;0;0;51;38505;40;3197311;0;0;19;3405;14;13635;
636746;Kyje u Hajnice;1394;7020510;100;3491746;0;0;0;0;33;19491;0;0;549;2339252;98;770790;109;54896;149;54845;356;289490;
636762;Nesyt·;234;3700504;1;762;0;0;0;0;10;9002;0;0;82;396069;45;3180605;9;25690;31;11037;56;77339;
636771;H·jov;1242;3386616;426;2089960;0;0;0;0;208;279415;0;0;112;279426;86;434476;29;28501;203;84117;178;190721;
636797;Haklovy Dvory;2397;6029460;512;2717556;0;0;0;0;230;103005;1;23807;205;1074951;39;93907;179;1578992;762;105664;469;331578;
636827;Hal·mky;1514;6894975;229;680923;0;0;0;0;99;52673;0;0;331;712527;85;4946438;340;223802;126;48179;304;230433;
636878;Halenkov;9399;42195806;1051;2062634;0;0;0;0;428;222428;4;14815;2419;7382081;1884;29325308;81;238507;1553;345166;1979;2604867;
636908;Halenkovice;5679;20022019;1018;5844387;0;0;3;2115;853;607054;43;125164;928;2140956;617;9869247;122;90284;1026;351961;1069;990851;
636959;Haluzice;918;4078661;181;483509;0;0;0;0;82;36370;3;9294;195;235881;245;3099373;14;12768;79;29156;119;172310;
636967;Branka u Tachova;638;10631457;26;418761;0;0;0;0;45;28353;0;0;195;1092373;35;8584991;37;173371;103;19918;197;313690;
636975;Halûe;1227;6490309;58;725820;0;0;0;0;215;89865;15;43376;153;1668118;32;3381123;22;75676;315;70636;417;435695;
636983;V˝öina;329;13147931;20;845789;0;0;0;0;32;21107;0;0;101;2031140;40;9814192;14;58980;34;8312;88;368411;
636991;Svobodka;608;4117723;57;1796443;0;0;0;0;56;28644;0;0;143;963660;52;694366;37;323139;79;53788;184;257683;
637009;éÔ·r u Tachova;362;18194257;58;218050;0;0;0;0;32;34268;0;0;95;425988;30;17237618;4;41729;58;20412;85;216192;
637017;Hamr;1900;11946765;280;874608;0;0;0;0;179;85777;0;0;320;1212671;194;8510479;102;479211;316;87559;509;696460;
637033;Hamr na Jeze¯e;1283;11615865;48;813971;0;0;0;0;52;32492;1;7324;136;709241;215;7179119;45;698993;269;49520;517;2125205;
637050;Hamr u LitvÌnova;1521;1863892;7;55215;0;0;0;0;243;85372;2;5495;25;174696;22;178226;7;43197;741;89291;474;1232400;
637068;Janov u LitvÌnova;1951;4581610;21;370455;0;0;0;0;408;246316;12;103757;107;243619;51;2340767;31;43689;739;152924;582;1080083;
637076;K¯Ìûatky;221;4727904;3;7627;0;0;0;0;36;25565;0;0;45;213860;15;4363079;2;3498;44;9862;76;104413;
637084;Hamry u Hlinska;1351;3821142;104;1025955;0;0;0;0;139;57085;0;0;327;1127416;220;911060;38;330040;207;52730;316;316856;
637092;Hamry nad K¯etÌnkou;915;1389786;36;55637;0;0;0;0;62;27733;0;0;228;436433;138;624733;51;26950;120;15277;280;203023;
637106;Hamry nad S·zavou;2316;4473596;452;1284130;0;0;0;0;419;215461;0;0;288;391783;50;1897854;121;143879;531;146792;455;393697;
637114;Najdek na MoravÏ;1074;2646275;199;1185501;0;0;0;0;176;78623;0;0;165;398192;72;679799;43;61960;199;47319;220;194881;
637131;HaÚovice;947;2796136;363;2222262;0;0;0;0;179;120396;0;0;22;18698;5;10198;22;21573;200;93620;156;309389;
637157;ChudobÌn;875;2329886;451;1875646;0;0;0;0;114;98403;0;0;35;35423;5;76756;2;2309;132;54270;136;187079;
637165;Myslechovice;1030;4101607;456;3045683;0;0;0;0;162;130770;2;4370;67;77341;32;589542;10;10980;173;61075;128;181846;
637173;Nasob˘rky;865;1956807;254;1445685;0;0;0;0;204;114116;0;0;20;11074;1;1373;12;12556;227;95752;147;276251;
637181;Nov· Ves u Litovle;718;2467141;188;419639;0;0;0;0;94;62532;2;13670;44;29232;32;1546906;38;45770;111;32407;209;316985;
637190;VÌska u Litovle;320;909700;88;635169;0;0;0;0;62;37170;0;0;32;76781;1;3917;12;25551;63;48780;62;82332;
637203;Hanuöovice;4058;14012219;137;2112585;0;0;0;0;420;303962;0;0;799;2662662;557;7073941;48;168537;1093;267760;1004;1422772;
637211;HynËice nad Moravou;1076;4861437;67;1112933;0;0;0;0;33;20078;0;0;222;1635106;196;1728162;17;31885;118;31816;423;301457;
637220;Pot˘ËnÌk;996;2770629;4;10434;0;0;0;0;16;10890;0;0;251;1252424;400;1290482;10;7702;52;13542;263;185155;
637238;Harrachov;3833;36634413;0;0;0;0;0;0;18;8037;0;0;945;1280264;350;33320729;60;296780;1078;283896;1382;1444707;
637254;Hartinkov;760;5146701;65;867237;0;0;0;0;143;76373;5;15747;163;500883;138;3517919;15;15093;88;23631;143;129818;
637262;DolejöÌ TÏöov;262;2633014;18;693383;0;0;0;0;22;18843;1;5647;36;593550;37;1144562;9;8375;52;28155;87;140499;
637271;Hartmanice I;826;2309794;18;68267;0;0;0;0;120;68956;0;0;127;1394855;31;371933;12;13274;258;78182;260;314327;
637289;Ho¯ejöÌ Kruöec;198;1258261;2;222885;0;0;0;0;23;10054;2;16909;20;486921;17;311036;13;24713;35;38460;86;147283;
637297;Ho¯ejöÌ TÏöov;347;2903115;20;403472;0;0;0;0;20;16432;0;0;58;1257531;103;1045959;9;12577;40;19787;97;147357;
637301;Chlum u Hartmanic;367;1442008;17;276078;0;0;0;0;27;25156;4;31271;73;466807;24;436117;26;17434;51;31419;145;157726;
637319;Javo¯Ì u Hartmanic;229;2416818;11;147499;0;0;0;0;13;16859;1;3642;52;536776;63;1617305;9;4991;7;7365;73;82381;
637327;Koch·nov II;350;3140015;8;357639;0;0;0;0;1;701;0;0;76;1452747;81;1059600;15;41076;25;11755;144;216497;
637335;Kundratice I;452;2294013;2;5001;0;0;0;0;80;32993;1;3306;98;1745533;29;252782;12;6368;79;23721;151;224309;
637343;LouËov·;150;1199284;4;573562;0;0;0;0;36;25284;1;4611;24;218043;6;311059;4;1524;33;15230;42;49971;
637351;Mochov u Hartmanic;218;2048845;10;169951;0;0;0;0;0;0;0;0;51;633522;49;1125713;6;2521;20;7158;82;109980;
637378;DolejöÌ Kruöec;553;4181532;25;721582;0;0;0;0;40;31201;0;0;128;1591136;88;1519995;10;14279;70;24523;192;278816;
637386;SvÏtl· u Hartmanic;239;724305;7;41082;0;0;0;0;24;26997;1;4139;64;349092;16;189375;25;8207;29;11892;73;93521;
637394;ätÏpanice;624;3385259;57;464482;0;0;0;0;22;17015;2;32421;149;1864549;98;668667;14;8087;45;28698;237;301340;
637408;VatÏtice;145;1475829;1;32307;0;0;0;0;2;3328;0;0;22;753116;39;566607;13;14598;14;6302;54;99571;
637416;VlastÏjov;357;1626819;48;513862;0;0;0;0;42;34415;5;5687;92;635005;56;331588;5;902;35;18323;74;87037;
637424;Z·luûice I;136;781547;4;136856;0;0;0;0;9;13100;0;0;16;219014;57;347699;0;0;11;4652;39;60226;
637432;BezdÏkov u Hartmanic;106;1092405;2;2019;0;0;0;0;1;516;0;0;24;482682;33;519886;6;4101;5;1895;35;81306;
637441;Hartmanice u PoliËky;2176;6132382;500;3119521;0;0;0;0;230;98110;1;3562;351;942560;174;1480773;51;19583;221;50069;648;418204;
637459;HartvÌkovice;1179;5734537;180;3555742;0;0;0;0;274;146551;1;3359;49;281804;26;530353;12;399109;357;113952;280;703667;
637467;T¯esov;541;4305903;157;2576640;0;0;0;0;72;38713;3;7077;60;204886;25;909373;17;313600;81;28718;126;226896;
637483;Hasina;616;5236808;38;422612;0;0;0;0;75;58225;4;17209;190;771424;47;3458392;71;291128;85;50289;106;167529;
637491;Haù;4581;15745000;1056;10418111;0;0;0;0;959;505745;4;240296;349;660268;133;2322250;211;161420;1031;360659;838;1076251;
637513;HatÌn;1865;28123533;206;2093077;0;0;0;0;94;60598;0;0;316;2231559;339;22031258;130;430174;256;92456;524;1184411;
637530;PolötÏ;892;4131301;174;1701151;0;0;0;0;119;63669;0;0;183;923453;65;335580;70;821508;109;42764;172;243176;
637548;Stajka;455;1785635;93;900038;0;0;0;0;52;34505;0;0;74;424575;37;217521;20;81493;60;27853;119;99650;
637556;HavÌ¯ov-mÏsto;5769;6426665;305;962132;0;0;0;0;366;359235;0;0;140;469728;19;354608;40;114250;3199;637646;1700;3529066;
637696;Bludovice;9039;9355565;1409;2617600;0;0;0;0;1337;884137;39;716714;346;620892;227;1562652;63;61060;3287;817378;2331;2075132;
637734;äumbark;6199;3797667;338;532432;0;0;0;0;611;372698;0;0;111;68917;73;665512;39;32422;1941;402385;3086;1723301;
637742;Prost¯ednÌ Such·;6640;5955889;715;1565958;0;0;0;0;1124;667260;0;0;168;146861;73;557057;96;496252;2559;442311;1905;2080190;
637777;DolnÌ Such·;3110;4365911;491;1221094;0;0;0;0;693;463627;0;0;248;87885;59;483138;129;429456;511;146313;979;1534398;
637823;HavlÌËk˘v Brod;18323;18289405;1407;6694639;0;0;0;0;2803;1118235;49;25049;1063;1477717;339;1708004;204;550463;6747;1448041;5711;5267257;
637955;Perknov;2127;3699887;462;1547735;0;0;0;0;284;104949;0;0;198;408376;183;1122880;108;126396;491;110562;401;278989;
637963;HavlÌËkova Borov·;3103;17596697;506;5636217;0;0;0;0;288;137564;2;12615;591;2154645;378;8519863;31;81862;546;197119;761;856812;
637971;PeröÌkov;330;1605451;17;958623;0;0;0;0;39;18714;0;0;42;258288;44;245733;6;5989;62;21079;120;97025;
637980;Havlovice u Domaûlic;1774;4720833;162;767500;0;0;0;0;127;84691;0;0;459;967550;159;2466730;301;93512;145;54834;421;286016;
637998;Havlovice;2801;8708735;333;2874245;0;0;0;0;365;318311;3;31762;641;1577459;274;3150543;30;185772;630;131129;525;439514;
